,0,1,2,3,class
229,0.0,0.0,0.01375,5.4635609375,dust
230,,,,,dust
231,,,,,dust
232,,,,,dust
233,,,,,dust
234,,,,,dust
235,,,,,dust
236,,,,,dust
237,,,,,dust
238,,,,,dust
239,,,,,dust
240,,,,,dust
241,,,,,dust
242,,,,,dust
243,,,,,dust
244,,,,,dust
245,,,,,dust
246,,,,,dust
247,,,,,dust
248,,,,,dust
249,,,,,dust
250,,,,,dust
251,,,,,dust
252,,,,,dust
253,,,,,dust
254,0.0,0.0,0.009375,5.785537109375,dust
255,,,,,dust
256,,,,,dust
257,0.0,0.0,0.025625,41.406218359375,dust
258,0.344877049180328,87.28115538550203,-0.00440829918032787,72.99573902567874,dust
259,0.8197851562499998,204.849864074707,-0.00454296875,79.61089936767578,dust
260,,,,,dust
261,,,,,dust
262,0.0,0.0,-0.033125,32.43577773437501,dust
263,,,,,dust
264,,,,,dust
265,0.0,0.0,0.0075,44.116193749999994,dust
266,0.350625,88.79468554687499,0.001125000000000001,68.325139921875,dust
267,0.47812499999999997,121.23606445312502,0.03333333333333333,143.83925442708332,dust
268,,,,,dust
269,,,,,dust
270,0.0,0.0,-0.015975000000000003,78.58505810937498,dust
271,,,,,dust
272,0.0,0.0,0.012410714285714284,46.16880262276785,dust
273,0.0,0.0,0.074375,80.580093359375,dust
274,0.159375,40.513623046875,-0.018374999999999996,73.973966171875,dust
275,1.1126179245283017,277.4700331662736,0.0065566037735849065,84.48166497641509,dust
276,0.5525,140.05775390625,0.005458333333333333,110.66905927083333,dust
277,0.7578789893617021,184.2746998628657,0.0025132978723404285,113.22227631316495,dust
278,2.0940104166666664,516.3588964843749,0.008159722222222223,159.32919069010416,dust
279,8.239687500000002,1823.4806170479908,-0.007866071428571427,178.59394946986592,dust
280,0.0,0.0,-0.001375,56.487942265624994,dust
281,0.0,0.0,0.026682692307692307,7.58965537860577,dust
282,0.0,0.0,-0.007792968750000001,4.848516369628905,dust
283,4.402083333333333,1023.7390039062498,0.0005065359477124188,64.5333886335784,dust
284,0.0,0.0,0.0019318181818181823,5.370887428977273,dust
285,0.46321271929824565,115.50627107319077,0.0022733918128654998,19.037715510782164,dust
286,,,,,dust
287,,,,,dust
288,,,,,dust
289,,,,,dust
290,0.0,0.0,-0.001160714285714285,8.758886997767856,dust
291,,,,,dust
292,0.0,0.0,0.006875,6.311146484375,dust
293,,,,,dust
294,,,,,dust
295,,,,,dust
296,,,,,dust
297,,,,,dust
298,,,,,dust
299,,,,,dust
300,,,,,dust
301,,,,,dust
302,,,,,dust
303,,,,,dust
304,0.8861249999999999,221.32579570312498,0.010974999999999999,541.4838637343751,dust
305,5.890451826196476,1423.9576069299037,0.009669395465994967,537.5908419080599,dust
306,,,,,dust
307,,,,,dust
308,0.0,0.0,0.0446875,234.79586230468752,dust
309,,,,,dust
310,,,,,dust
311,,,,,dust
312,,,,,dust
313,0.6375,161.7496875,0.039375,291.89069609374997,dust
314,,,,,dust
315,,,,,dust
316,,,,,dust
317,,,,,dust
318,,,,,dust
319,0.095625,24.338654296875006,-0.004000000000000002,242.97929750000003,dust
320,,,,,dust
321,,,,,dust
322,,,,,dust
323,0.0,0.0,0.044375000000000005,352.600904296875,dust
324,,,,,dust
325,0.0,0.0,-0.056875,92.769890234375,dust
326,0.0,0.0,0.038125,73.45167148437498,dust
327,,,,,dust
328,,,,,dust
329,,,,,dust
330,,,,,dust
331,,,,,dust
332,,,,,dust
333,,,,,dust
334,,,,,dust
335,,,,,dust
336,0.6926682692307692,175.27930326021635,-0.0044230769230769245,576.7189794471154,dust
337,0.932638888888889,234.43807942708324,0.02513888888888888,592.3588434895833,dust
338,0.9960937499999998,250.91322300502233,0.0015848214285714296,633.6036396902903,dust
339,1.4972271126760561,376.7568391010123,-0.00808978873239437,724.8359302321741,dust
340,0.6887276785714286,174.70660818917415,0.004062499999999999,593.375692047991,dust
341,2.089198369565217,519.3557131029212,-0.004524456521739128,619.6060834324048,dust
342,0.7171875,181.29759721235794,0.000113636363636365,592.7115453835228,dust
343,0.95625,240.43646902901781,-0.012842261904761903,599.1465588820683,dust
344,0.6562500000000001,166.04384765625002,0.005294117647058823,589.8105314338235,dust
345,1.2387784090909089,311.27370516690337,-0.0018465909090909069,605.0393254083806,dust
346,0.6252403846153846,158.59808518629808,0.01108173076923077,579.5005504056492,dust
347,42.99506340579715,9050.432448624319,-0.02063405797101449,1469.6181078653378,dust
348,39.79246596534654,8519.891948628943,-0.011194306930693067,1351.2663477916146,dust
349,39.86426361386139,8527.962859877782,0.006444925742574257,1334.8784613493974,dust
350,37.99051507537687,8158.207486750158,-0.014390703517587939,1312.6963741912696,dust
351,37.98174504950496,8196.892911026453,-0.0034870049504950496,1340.565674425665,dust
352,0.22767857142857142,57.69517299107143,-0.009107142857142855,251.46106785714284,dust
353,2.0081250000000006,498.6579287109374,0.010890625000000001,263.0645323339843,dust
354,2.3074728260869564,577.0604309612771,-0.00330163043478261,200.98109895550272,dust
355,2.275597826086957,562.7692877038041,0.009815217391304346,224.646169347826,dust
356,0.2049107142857143,52.088943917410724,0.005982142857142857,159.28472338169647,dust
357,,,,,dust
358,0.0,0.0,0.011510416666666665,90.59737737630208,dust
359,,,,,dust
360,,,,,dust
361,2.490234375,608.2599792480469,-0.02046875,110.03821962890623,dust
362,,,,,dust
363,0.0,0.0,0.011490384615384616,106.73603013822115,dust
364,,,,,dust
365,0.0,0.0,0.03421875,95.55900361328125,dust
366,,,,,dust
367,0.6611435439560441,166.83130081344436,-0.0020913461538461537,128.46874305674785,dust
368,0.0796875,20.25485764723558,-0.005528846153846154,116.781705859375,dust
369,0.959765625,241.26355590820313,0.00870863970588235,174.42512045898434,dust
370,0.0719758064516129,18.27353263608871,-0.004193548387096772,176.43282704133063,dust
371,16.88925151209677,3861.1032392341854,-0.0006854838709677418,308.0746148626512,dust
372,45.14387428977273,8731.749119318185,0.012139559659090903,488.30002710737716,dust
373,1.6746268656716414,417.8832459042677,-0.003029384328358211,113.98162527547811,dust
374,37.059404205607464,6908.515194764893,0.0016997663551401839,550.788483590099,dust
375,1.6999999999999997,428.72980664062493,-0.012437499999999997,136.52159378906248,dust
376,2.390625,596.6152608816964,-0.010446428571428568,157.77481741071432,dust
377,27.238923267326744,5631.627739789603,0.007462871287128714,435.016304896349,dust
378,2.3797324640287782,594.3423697097014,-0.005290017985611511,131.19437295273147,dust
379,2.8727343749999994,678.3011935337612,-0.0013549107142857113,142.02129378766753,dust
380,8.352349137931034,1970.9040713227382,-0.004129310344827587,175.986337036638,dust
381,0.5543478260869565,127.3715472146739,0.0022735507246376806,46.99894993772644,dust
382,12.288849852071007,2744.774176740477,0.005532544378698223,133.24121964219674,dust
383,0.23109375000000001,58.71427294921874,-0.014749999999999996,73.04200140625,dust
384,4.73362798804781,1041.0001980748877,-0.002397908366533866,156.58621281592386,dust
385,40.24801829268292,7727.938748094513,0.006829268292682925,400.50273757621943,dust
386,76.16334269662923,12572.163073867638,0.0058426966292134805,931.6754479459271,dust
387,,,,,dust
388,0.14255208333333333,35.71647705078125,0.000628472222222222,11.575414511718757,dust
389,,,,,dust
390,3.265604304635761,776.9466437939775,0.0025910596026490072,78.56769624896516,dust
391,0.06505102040816327,16.484335140306122,-0.0016326530612244896,8.442465035076527,dust
392,83.14677169421483,13615.418758797145,-0.009003099173553726,2358.1365229823086,dust
393,0.0,0.0,0.01,3.9249,dust
394,0.0,0.0,-0.0020833333333333337,67.8197287109375,dust
395,1.6372159090909089,407.6439417613636,0.0038636363636363647,136.71444083806819,dust
,0,1,2,3,class
0,53.16431249999999,10052.081143945312,-0.011029166666666663,652.7059883359373,no_dust
1,86.5755876068375,14568.579878305287,0.007416310541310545,3773.3863551805143,no_dust
2,46.87736378205128,9613.514117713343,0.00016025641025641074,1054.3751266793536,no_dust
